0	2	0
0.01	2	-0.04
0.02	1.9996	-0.0798
0.03	1.9988	-0.119393
0.04	1.99761	-0.158772
0.05	1.99602	-0.19793
0.06	1.99404	-0.236861
0.07	1.99167	-0.275558
0.08	1.98892	-0.314013
0.09	1.98578	-0.352222
0.1	1.98225	-0.390176
0.11	1.97835	-0.42787
0.12	1.97407	-0.465298
0.13	1.96942	-0.502453
0.14	1.9644	-0.539329
0.15	1.959	-0.57592
0.16	1.95324	-0.612221
0.17	1.94712	-0.648225
0.18	1.94064	-0.683926
0.19	1.9338	-0.719319
0.2	1.92661	-0.754398
0.21	1.91906	-0.789159
0.22	1.91117	-0.823594
0.23	1.90294	-0.8577
0.24	1.89436	-0.89147
0.25	1.88544	-0.9249
0.26	1.87619	-0.957984
0.27	1.86662	-0.990718
0.28	1.85671	-1.0231
0.29	1.84648	-1.05512
0.3	1.83593	-1.08677
0.31	1.82506	-1.11805
0.32	1.81388	-1.14896
0.33	1.80239	-1.1795
0.34	1.79059	-1.20965
0.35	1.7785	-1.23941
0.36	1.7661	-1.26878
0.37	1.75341	-1.29776
0.38	1.74044	-1.32634
0.39	1.72717	-1.35452
0.4	1.71363	-1.38229
0.41	1.69981	-1.40965
0.42	1.68571	-1.4366
0.43	1.67134	-1.46313
0.44	1.65671	-1.48924
0.45	1.64182	-1.51493
0.46	1.62667	-1.54019
0.47	1.61127	-1.56502
0.48	1.59562	-1.58942
0.49	1.57972	-1.61339
0.5	1.56359	-1.63692
0.51	1.54722	-1.66
0.52	1.53062	-1.68265
0.53	1.51379	-1.70485
0.54	1.49675	-1.7266
0.55	1.47948	-1.7479
0.56	1.462	-1.76875
0.57	1.44431	-1.78915
0.58	1.42642	-1.80909
0.59	1.40833	-1.82857
0.6	1.39004	-1.84759
0.61	1.37157	-1.86616
0.62	1.35291	-1.88426
0.63	1.33406	-1.90189
0.64	1.31505	-1.91907
0.65	1.29586	-1.93577
0.66	1.2765	-1.95201
0.67	1.25698	-1.96778
0.68	1.2373	-1.98308
0.69	1.21747	-1.99791
0.7	1.19749	-2.01227
0.71	1.17737	-2.02616
0.72	1.15711	-2.03958
0.73	1.13671	-2.05252
0.74	1.11618	-2.06499
0.75	1.09553	-2.07699
0.76	1.07476	-2.08852
0.77	1.05388	-2.09957
0.78	1.03288	-2.11015
0.79	1.01178	-2.12026
0.8	0.99058	-2.12989
0.81	0.969281	-2.13905
0.82	0.94789	-2.14774
0.83	0.926413	-2.15596
0.84	0.904853	-2.16371
0.85	0.883216	-2.17099
0.86	0.861506	-2.1778
0.87	0.839728	-2.18414
0.88	0.817887	-2.19001
0.89	0.795987	-2.19542
0.9	0.774032	-2.20036
0.91	0.752029	-2.20484
0.92	0.72998	-2.20886
0.93	0.707892	-2.21241
0.94	0.685768	-2.21551
0.95	0.663613	-2.21815
0.96	0.641431	-2.22033
0.97	0.619228	-2.22206
0.98	0.597007	-2.22333
0.99	0.574774	-2.22415
1	0.552532	-2.22453
1.01	0.530287	-2.22446
1.02	0.508043	-2.22394
1.03	0.485803	-2.22298
1.04	0.463573	-2.22158
1.05	0.441357	-2.21975
1.06	0.41916	-2.21747
1.07	0.396985	-2.21477
1.08	0.374838	-2.21164
1.09	0.352721	-2.20807
1.1	0.33064	-2.20409
1.11	0.3086	-2.19968
1.12	0.286603	-2.19485
1.13	0.264654	-2.18961
1.14	0.242758	-2.18396
1.15	0.220919	-2.17789
1.16	0.19914	-2.17142
1.17	0.177425	-2.16455
1.18	0.15578	-2.15727
1.19	0.134207	-2.1496
1.2	0.112711	-2.14154
1.21	0.0912958	-2.13309
1.22	0.0699649	-2.12425
1.23	0.0487225	-2.11502
1.24	0.0275722	-2.10542
1.25	0.006518	-2.09545
1.26	-0.0144365	-2.0851
1.27	-0.0352875	-2.07439
1.28	-0.0560313	-2.06331
1.29	-0.0766644	-2.05187
1.3	-0.0971831	-2.04008
1.31	-0.117584	-2.02793
1.32	-0.137863	-2.01544
1.33	-0.158018	-2.00261
1.34	-0.178044	-1.98944
1.35	-0.197938	-1.97593
1.36	-0.217697	-1.96209
1.37	-0.237318	-1.94792
1.38	-0.256798	-1.93344
1.39	-0.276132	-1.91864
1.4	-0.295318	-1.90352
1.41	-0.314353	-1.8881
1.42	-0.333234	-1.87237
1.43	-0.351958	-1.85634
1.44	-0.370522	-1.84002
1.45	-0.388922	-1.82341
1.46	-0.407156	-1.80651
1.47	-0.425221	-1.78934
1.48	-0.443114	-1.77189
1.49	-0.460833	-1.75417
1.5	-0.478375	-1.73618
1.51	-0.495737	-1.71793
1.52	-0.512916	-1.69943
1.53	-0.52991	-1.68067
1.54	-0.546717	-1.66167
1.55	-0.563334	-1.64243
1.56	-0.579758	-1.62295
1.57	-0.595987	-1.60324
1.58	-0.61202	-1.5833
1.59	-0.627853	-1.56314
1.6	-0.643484	-1.54277
1.61	-0.658912	-1.52219
1.62	-0.674134	-1.5014
1.63	-0.689148	-1.48041
1.64	-0.703952	-1.45922
1.65	-0.718544	-1.43785
1.66	-0.732923	-1.41629
1.67	-0.747086	-1.39455
1.68	-0.761031	-1.37263
1.69	-0.774757	-1.35055
1.7	-0.788263	-1.3283
1.71	-0.801546	-1.3059
1.72	-0.814605	-1.28334
1.73	-0.827438	-1.26063
1.74	-0.840045	-1.23778
1.75	-0.852422	-1.21479
1.76	-0.86457	-1.19166
1.77	-0.876487	-1.16841
1.78	-0.888171	-1.14504
1.79	-0.899621	-1.12155
1.8	-0.910837	-1.09795
1.81	-0.921816	-1.07425
1.82	-0.932559	-1.05044
