0	0
0.1	0.98
0.2	1.95968
0.3	2.9384
0.4	3.91552
0.5	4.89041
0.6	5.86244
0.7	6.83098
0.8	7.79543
0.9	8.75517
1	9.70962
1.1	10.6582
1.2	11.6003
1.3	12.5355
1.4	13.4631
1.5	14.3827
1.6	15.2937
1.7	16.1958
1.8	17.0883
1.9	17.971
2	18.8433
2.1	19.705
2.2	20.5555
2.3	21.3947
2.4	22.2221
2.5	23.0375
2.6	23.8406
2.7	24.6312
2.8	25.4089
2.9	26.1737
3	26.9254
3.1	27.6637
3.2	28.3886
3.3	29.1
3.4	29.7977
3.5	30.4817
3.6	31.152
3.7	31.8085
3.8	32.4513
3.9	33.0803
4	33.6955
4.1	34.297
4.2	34.8849
4.3	35.4593
4.4	36.0202
4.5	36.5677
4.6	37.1019
4.7	37.6231
4.8	38.1313
4.9	38.6266
5	39.1093
5.1	39.5794
5.2	40.0372
5.3	40.4829
5.4	40.9166
5.5	41.3386
5.6	41.7489
5.7	42.1479
5.8	42.5358
5.9	42.9127
6	43.2789
6.1	43.6345
6.2	43.9799
6.3	44.3151
6.4	44.6405
6.5	44.9562
6.6	45.2626
6.7	45.5597
6.8	45.8478
6.9	46.1271
7	46.3979
7.1	46.6603
7.2	46.9145
7.3	47.1609
7.4	47.3995
7.5	47.6306
7.6	47.8544
7.7	48.071
7.8	48.2807
7.9	48.4837
8	48.6802
8.1	48.8703
8.2	49.0542
8.3	49.2321
8.4	49.4041
8.5	49.5705
8.6	49.7315
8.7	49.887
8.8	50.0375
8.9	50.1829
9	50.3235
9.1	50.4593
9.2	50.5906
9.3	50.7175
9.4	50.84
9.5	50.9585
9.6	51.0729
9.7	51.1834
9.8	51.2901
9.9	51.3933
10	51.4928
10.1	51.589
10.2	51.6819
10.3	51.7715
10.4	51.8581
10.5	51.9417
10.6	52.0224
10.7	52.1002
10.8	52.1754
10.9	52.248
11	52.3181
11.1	52.3857
11.2	52.4509
11.3	52.5139
11.4	52.5746
11.5	52.6333
11.6	52.6899
11.7	52.7445
11.8	52.7971
11.9	52.8479
12	52.897
12.1	52.9443
12.2	52.9899
12.3	53.0339
12.4	53.0764
12.5	53.1174
12.6	53.1569
12.7	53.195
12.8	53.2318
12.9	53.2672
13	53.3014
13.1	53.3344
13.2	53.3662
13.3	53.3969
13.4	53.4265
13.5	53.455
13.6	53.4826
13.7	53.5091
13.8	53.5347
13.9	53.5594
14	53.5832
14.1	53.6061
14.2	53.6282
14.3	53.6496
14.4	53.6702
14.5	53.69
14.6	53.7091
14.7	53.7276
14.8	53.7453
14.9	53.7625
15	53.779
15.1	53.795
15.2	53.8103
15.3	53.8251
15.4	53.8394
15.5	53.8532
15.6	53.8665
15.7	53.8793
15.8	53.8916
15.9	53.9035
16	53.915
16.1	53.926
16.2	53.9367
16.3	53.947
16.4	53.9569
16.5	53.9664
16.6	53.9757
16.7	53.9845
16.8	53.9931
16.9	54.0013
17	54.0093
17.1	54.017
17.2	54.0243
17.3	54.0315
17.4	54.0383
17.5	54.045
17.6	54.0513
17.7	54.0575
17.8	54.0634
17.9	54.0691
18	54.0746
18.1	54.0799
18.2	54.0851
18.3	54.09
18.4	54.0948
18.5	54.0993
18.6	54.1038
18.7	54.108
18.8	54.1121
18.9	54.1161
19	54.1199
19.1	54.1236
19.2	54.1271
19.3	54.1306
19.4	54.1338
19.5	54.137
19.6	54.1401
19.7	54.143
19.8	54.1459
19.9	54.1486
20	54.1513
